#CHR	FAMILY	L_POS	R_POS	TOTAL_READS	SINGLE_END_COUNT	INTER_CHROM_COUNT	ABERRANT_COUNT	SINGLE_END_READS	INTER_CHROM_READS	ABERRANT_READS
1	121485152	121485380	Alu	15	0	13	2	.	HS1_5453:6:8:17920:44119,HS1_5453:5:42:20214:152754,HS1_5453:5:67:13674:139759,HS1_5453:5:41:2544:76733,HS1_5453:6:64:13813:124925,HS1_5453:5:62:14919:64260,HS1_5453:6:63:10470:28567,HS1_5453:5:5:17599:169804,HS1_5453:5:28:4303:49938,HS1_5453:5:62:8768:18032,HS1_5453:6:22:15886:116899,HS1_5453:6:48:19683:95906,HS1_5453:6:62:15161:198432	HS1_5453:5:48:8659:190204,HS1_5453:5:46:10166:162629
10	32312767	32312858	Alu	5	5	0	0	HS1_5453:6:1:8110:124188,HS1_5453:6:43:13291:138303,HS1_5453:6:2:3340:110525,HS1_5453:5:21:10009:70850,HS1_5453:6:47:15788:145515	.	.
12	24756863	24757067	Alu	5	5	0	0	HS1_5453:6:61:13262:131218,HS1_5453:6:46:4833:50667,HS1_5453:5:65:17575:191472,HS1_5453:5:4:11217:52924,HS1_5453:6:42:11960:57175	.	.
12	101450324	101450534	Alu	5	5	0	0	HS1_5453:5:5:8677:126713,HS1_5453:5:28:1235:40786,HS1_5453:6:66:2177:93477,HS1_5453:5:47:15151:115946,HS1_5453:6:7:10184:52545	.	.
13	108764328	108764426	Alu	5	5	0	0	HS1_5453:6:62:19466:124274,HS1_5453:5:65:18165:84658,HS1_5453:6:8:4302:37233,HS1_5453:6:65:4797:66028,HS1_5453:6:23:9784:94241	.	.
14	58849122	58849250	Alu	5	5	0	0	HS1_5453:5:21:12859:30246,HS1_5453:6:27:6711:33766,HS1_5453:5:46:12773:149885,HS1_5453:6:28:19305:168901,HS1_5453:5:25:3350:22290	.	.
19	38367992	38368183	Alu	5	5	0	0	HS1_5453:5:22:1813:92465,HS1_5453:5:62:4292:135419,HS1_5453:6:1:8462:141822,HS1_5453:6:48:13165:165004,HS1_5453:5:43:19843:92238	.	.
2	15592060	15592155	Alu	5	5	0	0	HS1_5453:6:65:17704:110783,HS1_5453:6:5:2216:171683,HS1_5453:5:44:4084:87254,HS1_5453:5:48:14161:150864,HS1_5453:6:8:19881:181569	.	.
2	52094925	52095236	Alu	5	5	0	0	HS1_5453:6:67:20761:9855,HS1_5453:6:26:6470:156043,HS1_5453:6:6:7243:182114,HS1_5453:5:68:4771:147115,HS1_5453:6:41:15827:75387	.	.
2	160139566	160139671	Alu	5	5	0	0	HS1_5453:6:68:19645:65001,HS1_5453:5:5:6991:158006,HS1_5453:5:45:10813:168584,HS1_5453:5:61:6138:172095,HS1_5453:5:43:8609:51920	.	.
22	31751450	31751769	Alu	5	5	0	0	HS1_5453:5:61:6841:41236,HS1_5453:5:6:7010:67530,HS1_5453:5:66:12533:26294,HS1_5453:6:65:5580:72251,HS1_5453:6:45:19063:90865	.	.
3	49923176	49923300	Alu	5	5	0	0	HS1_5453:5:66:7630:143048,HS1_5453:6:65:13781:158336,HS1_5453:6:24:13147:97473,HS1_5453:5:41:18943:7348,HS1_5453:5:63:16344:88882	.	.
3	84606287	84606392	Alu	5	5	0	0	HS1_5453:6:65:19962:104625,HS1_5453:6:1:15833:11920,HS1_5453:5:27:2482:25241,HS1_5453:5:6:1307:175985,HS1_5453:6:62:16750:99287	.	.
7	40195383	40195492	Alu	5	5	0	0	HS1_5453:5:24:1314:163016,HS1_5453:6:63:10109:179478,HS1_5453:6:24:5885:49800,HS1_5453:5:23:19175:33231,HS1_5453:5:64:10037:178029	.	.
8	108122575	108122737	Alu	5	5	0	0	HS1_5453:6:7:12456:102058,HS1_5453:5:26:2257:186068,HS1_5453:6:61:15359:88449,HS1_5453:5:66:14549:169888,HS1_5453:6:5:5127:43738	.	.
12	105193705	105193868	L1	8	8	0	0	HS1_5453:6:27:19013:180890,HS1_5453:6:26:10295:171803,HS1_5453:6:65:10256:166206,HS1_5453:6:26:19829:108891,HS1_5453:5:25:14365:97097,HS1_5453:6:26:12291:67644,HS1_5453:6:46:7150:42443,HS1_5453:6:68:4199:51473	.	.
